;efficiency;marginal_cost;p_nom;carrier;p_max_pu
5696 biomass;0.4699999999999995;14.893617021276594;46.095;biomass;1.0
5696 offwind-ac;1.0;2.0;16.402484603584174;offshore wind;0.02581424730739553
5696 onwind;1.0;2.0;543.4754450041316;onshore wind;0.0
5696 solar;1.0;1.0;250.3340166797323;solar;0.0357283345776986
5699 CCGT;0.513;43.38128654970761;160.0;CCGT;1.0
5699 biomass;0.46999999999999986;14.893617021276594;62.947;biomass;1.0
5699 onwind;1.0;2.0;553.0240373459881;onshore wind;0.0
5699 ror;0.9;3.0;0.095;run of river;0.6608531105671127
5699 solar;1.0;1.0;625.1995710052872;solar;0.03405899186253361
5701 biomass;0.46999999999999986;14.893617021276597;2.1479999999999997;biomass;1.0
5701 onwind;1.0;2.0;0.9896335597224282;onshore wind;0.0
5701 solar;1.0;1.0;15.021151755770351;solar;0.032425036912475724
5703 OCGT;0.3806;57.31135049921178;81.8;OCGT;1.0
5703 biomass;0.47;14.893617021276597;1.194;biomass;1.0
5703 coal;0.33;28.196969696969695;553.1621739379046;coal;1.0
5703 onwind;1.0;2.0;0.8893202659064059;onshore wind;0.0
5703 solar;1.0;1.0;24.782791528194945;solar;0.03245369600348307
5704 biomass;0.4699999999999999;14.893617021276597;9.579;biomass;1.0
5704 coal;0.33;28.196969696969695;92.19369565631744;coal;1.0
5704 onwind;1.0;2.0;9.675;onshore wind;0.0
5704 solar;1.0;1.0;23.320949274798075;solar;0.033353752996595674
5706 CCGT;0.4059;53.719586104951965;144.0;CCGT;1.0
5706 biomass;0.4699999999999999;14.893617021276606;6.9657;biomass;1.0
5706 onwind;1.0;2.0;0.6598960808326764;onshore wind;0.0
5706 solar;1.0;1.0;31.74243272719214;solar;0.033131299620459694
5709 OCGT;0.354;61.27966101694916;150.0;OCGT;1.0
5709 biomass;0.47;14.893617021276597;0.14;biomass;1.0
5709 onwind;1.0;2.0;0.17867943163253933;onshore wind;0.0
5709 solar;1.0;1.0;25.67706074479375;solar;0.03607742848027894
5711 biomass;0.47;14.893617021276604;57.721;biomass;1.0
5711 onwind;1.0;2.0;431.3178887390206;onshore wind;0.0
5711 ror;0.9;3.0;0.16;run of river;0.6608531105671127
5711 solar;1.0;1.0;696.4977547090223;solar;0.035220224784506926
5769 offwind-ac;1.0;2.0;0.5588584601464326;offshore wind;0.0
5780 biomass;0.46999999999999975;14.89361702127659;34.668;biomass;1.0
5780 coal;0.33;28.196969696969695;732.9398804677236;coal;1.0
5780 offwind-ac;1.0;2.0;67.34206839326697;offshore wind;0.0
5780 onwind;1.0;2.0;768.5935716908431;onshore wind;0.0
5780 solar;1.0;1.0;131.50940467377615;solar;0.06324129622215577
5783 CCGT;0.3956;55.00889787664308;321.0;CCGT;1.0
5783 biomass;0.4699999999999999;14.893617021276595;36.006;biomass;1.0
5783 offwind-ac;1.0;2.0;0.3644050413663584;offshore wind;0.0
5783 onwind;1.0;2.0;639.0209821071219;onshore wind;0.0
5783 solar;1.0;1.0;116.13607924763167;solar;0.034627149383013735
5784 biomass;0.47000000000000014;14.893617021276608;16.258;biomass;1.0
5784 offwind-dc;1.0;2.0;4425.934949183017;offshore wind;0.14528483587076946
5784 onwind;1.0;2.0;220.24057209099868;onshore wind;0.0
5784 solar;1.0;1.0;93.6952914805662;solar;0.08743237890722004
5786 biomass;0.4699999999999993;14.893617021276615;77.041;biomass;1.0
5786 onwind;1.0;2.0;576.3082225687522;onshore wind;0.0
5786 solar;1.0;1.0;206.42091526550732;solar;0.05589943167466969
5787 biomass;0.4699999999999998;14.893617021276603;6.85;biomass;1.0
5787 offwind-ac;1.0;2.0;413.49526398728955;offshore wind;0.028359848305185047
5787 offwind-dc;1.0;2.0;1031.563658386294;offshore wind;0.056829531427227575
5787 onwind;1.0;2.0;121.79000555475761;onshore wind;0.0
5787 solar;1.0;1.0;35.9238667847007;solar;0.10398762120647291
5789 biomass;0.4699999999999993;14.893617021276615;74.769;biomass;1.0
5789 onwind;1.0;2.0;251.6278236144055;onshore wind;0.0
5789 solar;1.0;1.0;174.73283282207976;solar;0.09789638654708098
5792 OCGT;0.3727107203823831;58.42922419665948;58.58;OCGT;1.0
5792 biomass;0.46999999999999936;14.89361702127657;223.62820000000005;biomass;1.0
5792 offwind-ac;1.0;2.0;0.3561203954131537;offshore wind;0.0
5792 onwind;1.0;2.0;1865.762249947312;onshore wind;0.0
5792 solar;1.0;1.0;768.7863459927962;solar;0.09518584477939276
5796 biomass;0.4699999999999994;14.893617021276599;42.72684000000001;biomass;1.0
5796 onwind;1.0;2.0;338.0780116809345;onshore wind;0.0
5796 solar;1.0;1.0;243.72491056450943;solar;0.052486948882962084
5827 biomass;0.4699999999999991;14.893617021276551;130.79100000000003;biomass;1.0
5827 offwind-ac;1.0;2.0;0.4810268098259209;offshore wind;0.01726206172317907
5827 onwind;1.0;2.0;2363.3528339516215;onshore wind;0.030550708032313623
5827 solar;1.0;1.0;409.2139531401489;solar;0.1350951627847703
5830 CCGT;0.612;37.043137254901964;78.0;CCGT;1.0
5830 biomass;0.46999999999999936;14.89361702127661;71.1785;biomass;1.0
5830 coal;0.33;28.196969696969695;92.19369565631744;coal;1.0
5830 offwind-ac;1.0;2.0;2.694166379778464;offshore wind;0.05461053600426577
5830 onwind;1.0;2.0;351.90089970092305;onshore wind;0.04116733686762716
5830 solar;1.0;1.0;341.2026474022908;solar;0.05765041928049635
5833 OCGT;0.3981999999999999;54.99602864786652;209.5;OCGT;1.0
5833 biomass;0.46999999999999936;14.893617021276594;141.80600000000004;biomass;1.0
5833 offwind-ac;1.0;2.0;112.52897508619301;offshore wind;0.07281862541140309
5833 onwind;1.0;2.0;529.703004531081;onshore wind;0.04258591987225141
5833 solar;1.0;1.0;369.13052055476004;solar;0.025584674264082195
5853 biomass;0.4699999999999995;14.893617021276595;40.83200000000001;biomass;1.0
5853 onwind;1.0;2.0;462.61296149955797;onshore wind;0.0
5853 solar;1.0;1.0;132.88471306008555;solar;0.03216945244442292
5856 biomass;0.46999999999999986;14.893617021276594;54.949300000000015;biomass;1.0
5856 offwind-ac;1.0;2.0;8.852480926547267;offshore wind;0.0
5856 onwind;1.0;2.0;2011.1605435875815;onshore wind;0.0
5856 solar;1.0;1.0;385.17489901655483;solar;0.04549153002482839
5858 biomass;0.47;14.893617021276597;0.23049999999999998;biomass;1.0
5858 onwind;1.0;2.0;114.05490019873216;onshore wind;0.0
5858 solar;1.0;1.0;16.867838222576612;solar;0.025940345424356265
5861 biomass;0.46999999999999986;14.893617021276594;19.491999999999997;biomass;1.0
5861 onwind;1.0;2.0;285.704089965943;onshore wind;0.0
5861 solar;1.0;1.0;90.46995575619819;solar;0.02604670184215901
5863 CCGT;0.6075;37.28641975308642;157.0;CCGT;1.0
5863 OCGT;0.4112;53.38132295719845;30.72;OCGT;1.0
5863 biomass;0.47000000000000014;14.893617021276604;13.678999999999998;biomass;1.0
5863 onwind;1.0;2.0;209.38204661642337;onshore wind;0.0
